#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.97 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2009.9948,,28.14000,,
2010.0084,,,26.47000,
2010.0219,,29.47000,,
2010.0355,,,25.96000,
2010.0491,,26.62000,,
2010.0626,,,25.02000,
2010.0762,,22.63000,,
2010.0898,,,21.34000,
2010.1033,,24.67000,,
2010.1170,,,25.51000,
2010.1305,,28.72000,,
2010.1441,,,27.85000,
2010.1576,,30.99000,,
2010.1712,,,31.48000,
2010.1850,,30.41000,,
2010.1983,,,25.22000,
2010.2120,,26.20000,,
2010.2255,,,25.82000,
2010.2390,,26.40000,,
2010.2527,,,25.59000,
2010.2655,,26.05000,,
2010.2799,,,28.35000,
2010.2935,,31.48000,,
2010.3069,,,28.61000,
2010.3205,,28.89000,,
2010.3341,,,25.86000,
2010.3477,,27.60000,,
2010.3612,,,26.08000,
2010.3748,,28.99000,,
2010.3884,,,30.33000,
2010.4019,,27.34000,,
2010.4155,,,30.26000,
2010.4277,,28.30000,,
2010.4427,,,30.34000,
2010.4562,,30.12000,,
2010.4698,,,30.73000,
2010.4833,,28.58000,,
2010.4970,,,30.30000,
2010.5105,,27.14000,,
2010.5242,,,29.92000,
2010.5377,,28.78000,,
2010.5513,,,30.33000,
2010.5639,,28.84000,,
2010.5784,,,28.34000,
2010.5920,,28.71000,,
2010.6055,,,26.60000,
2010.6192,,31.17000,,
2010.6328,,,27.66000,
2010.6463,,27.63000,,
2010.6599,,,23.82000,
2010.6733,,25.67000,,
2010.6870,,,25.46000,
2010.7006,,25.67000,,
2010.7142,,,24.86000,
2010.7277,,25.12000,,
2010.7414,,,23.98000,
2010.7549,,23.59000,,
2010.7685,,,25.10000,
2010.7820,,25.67000,,
2010.7956,,,28.35000,
2010.8092,,29.28000,,
2010.8228,,,26.53000,
2010.8364,,28.67000,,
2010.8499,,,25.65000,
2010.8635,,26.31000,,
2010.8771,,,26.87000,
2010.8906,,22.38000,,
2010.9043,,,22.73000,
2010.9178,,21.04000,,
2010.9314,,,23.97000,
